                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81774,                 2.3998,                 1.2831,                0.72263,                0.88393,                0.71783,                0.55943,                0.54018,                 9.5494,                 1.0148,                0.00012,                0.00012,                0.00012
                      2,                0.91685,                 1.9298,                 1.2781,                0.62908,                0.86607,                0.82067,                0.49283,                 1.1519,                 4.1151,                 1.6883,             0.00025743,             0.00025743,             0.00025743
                      3,                 1.1246,                 1.2869,                 1.3947,                0.81944,                0.52679,                0.64392,                0.34146,                 1.3097,                 7.5073,                 1.9504,             0.00039208,             0.00039208,             0.00039208
                      4,                 1.0936,                 1.2243,                 1.3534,                0.33218,                0.85714,                0.32952,                0.19709,                 1.0087,                 18.504,                 1.8425,             0.00052396,             0.00052396,             0.00052396
                      5,                 1.1447,                 1.2574,                 1.4267,                0.37118,                0.75893,                0.37936,                0.15221,                 1.5489,                 18.791,                 2.9358,             0.00065307,             0.00065307,             0.00065307
                      6,                 1.1196,                 1.2659,                  1.418,                0.11967,                0.90179,                0.13673,                0.06642,                  1.356,                 58.672,                 2.7317,             0.00077941,             0.00077941,             0.00077941
                      7,                 1.2253,                  1.284,                 1.4581,                0.12224,                0.74107,                0.11887,                0.04739,                 1.9732,                 58.526,                 4.2699,             0.00090298,             0.00090298,             0.00090298
                      8,                 1.3018,                 1.2437,                 1.4906,                0.13413,                0.90179,                0.13298,                0.05986,                 1.7812,                   59.3,                  4.691,              0.0010238,              0.0010238,              0.0010238
                      9,                 1.3822,                 1.3496,                 1.5685,                0.04464,                 0.6875,                0.04432,                0.01343,                 2.5056,                 157.49,                 7.0744,              0.0011418,              0.0011418,              0.0011418
                     10,                 1.3666,                 1.3107,                 1.5686,                0.03387,                   0.75,                0.02964,                0.00977,                 2.8795,                 315.01,                 8.1405,               0.001257,               0.001257,               0.001257
                     11,                 1.3016,                 1.3297,                 1.5238,                0.02457,                0.15179,                0.01455,                0.00341,                 3.4662,                 74.086,                 6.3893,              0.0013695,              0.0013695,              0.0013695
                     12,                 1.4006,                 1.3738,                 1.6036,                0.03021,                0.59821,                 0.0283,                0.01189,                 3.5392,                    inf,                 65.734,              0.0014792,              0.0014792,              0.0014792
                     13,                 1.4145,                 1.3326,                 1.6788,                0.09971,                0.30357,                0.06424,                0.02011,                 3.2547,                 41.803,                 9.1306,              0.0015862,              0.0015862,              0.0015862
